intersection_code,stop_lat,wheelchair_boarding,zone_id,stop_lon,stop_id,stop_name_short,parent_station,stop_name,reference_place,location_type,stop_place,stop_code
N-W/B,32.57667863,1,,-117.1185213,60134,Imperial Bch&Connecticut,,Imperial Beach Bl & Connecticut St,,0,,60134
N-W/B,32.5840119,1,,-117.1204244,60133,Palm&Rainbow,,Palm Av & Rainbow Dr,,0,,60133
N-W/B,32.58401924,1,,-117.1221061,60132,Palm&5th,,Palm Av & 5th St,,0,,60132
N-W/B,32.57671807,1,,-117.1245984,60131,Imperial Bch&4th,,Imperial Beach Bl & 4th St,,0,imp4th,60131
N-W/B,32.57673494,1,,-117.1272506,60130,Imperial Bch&3rd,,Imperial Beach Bl & 3rd St,,0,,60130
N-E/B,32.88957656,1,,-117.1427951,10132,Miramar&Cabot,,Miramar Rd & Cabot Dr,,0,,10132
F-E/B,32.72723742,1,,-117.2176426,99993,N Harbor&Laning,,N Harbor Dr & Laning Dr,,0,,99993
F-W/B,32.72882889,1,,-117.2121162,99995,N Harbor&Lee,,N Harbor Dr & Lee Ct,,0,,99995
N-E/B,32.728571,2,,-117.2119505,99994,N Harbor&Spanish Landing W,,N Harbor Dr & Spanish Landing W,,0,,99994
N-W/B,32.58406783,1,,-117.1128674,60138,Palm&Emory,,Palm Av & Emory St,,0,,60138
M-Street-W/B,32.6041142,1,,-117.0409746,30648,E Orange&EOrange Vlge,,E Orange Av & East Orange Village,,0,,30648
N-N/B,32.618828,0,,-117.0269631,30665,Medical Ctr&Medical Ctr,,Medical Center Dr & Medical Center Ct,,0,,30665
,32.75686007,,,-117.0172155,sprtro,sprtro,,Spring Street Station,,1,,
N-S/B,32.72217893,0,,-117.1692896,13541,Kettner&Cedar,cocS_S,Kettner Bl & Cedar St,,0,cocS,13541
N-E/B,32.84369481,1,,-117.2736332,13543,Girard&Kline,,Girard Av & Kline St,,0,,13543
F-N/B,32.98608067,1,,-117.0753161,13451,Carmel Mtn&Conference Way,,Carmel Mountain Rd & Conference Way,,0,,13451
M-Street-N/B,32.62493799,1,,-117.037764,30663,Oleander&Jamul,,Oleander Av & Jamul Ct,,0,,30663
F-E/B,32.58370625,1,,-117.0659119,60094,Palm&Hawaii,,Palm Av & Hawaii Av,,0,,60094
N-E/B,32.72711415,1,,-117.1631499,12019,Hawthorn&2nd,,Hawthorn St & 2nd Av,,0,,12019
F-S/B,32.74677674,1,,-117.1639326,12018,1st&Robinson,,1st Av & Robinson Av,,0,,12018
,32.6769015,0,,-117.1726085,99848,Slvr Strnd&Avda de las Arenas,,Silver Strand Bl & Avenida de las Arenas,,0,strcit,99848
F-S/B,32.73759311,1,,-117.1640455,12015,1st&Redwood,,1st Av & Redwood St,,0,,12015
F-S/B,32.73113997,1,,-117.1639948,12014,1st&Laurel,,1st Av & Laurel St,,0,,12014
F-S/B,32.74119891,1,,-117.1640797,12017,1st&Walnut,,1st Av & Walnut Av,,0,,12017
F-S/B,32.73322041,1,,-117.1640197,12016,1st&Nutmeg,,1st Av & Nutmeg St,,0,,12016
F-N/B,32.68476514,1,,-117.1793226,60371,Orange&C,,Orange Av & C Av,,0,,60371
F-S/B,32.69828973,1,,-117.0938123,11737,47th&T,,47th St & T St,,0,,11737
F-S/B,32.73955812,1,,-117.1640692,12013,1st&Thorn,,1st Av & Thorn St,,0,,12013
F-S/B,32.71762489,1,,-117.1648203,12012,Front&B,,Front St & B St,,0,frobst,12012
M-Street-N/B,33.20883434,2,,-116.3300109,98004,Yaqui Pass&Deep Dell Tr,,Yaqui Pass & Deep Dell Tr,,0,,98004
M-Street-E/B,33.13870587,2,,-116.3749305,98005,Yaqui Pass&Tamarisk Grove Campground,,Yaqui Pass & Tamarisk Grove Campground,,0,,98005
N-S/B,32.71033273,0,,-117.072796,11768,Pitta&Mrkt,,Pitta St & Market St,,0,,11768
N-S/B,32.62079774,1,,-117.0720001,11769,3rd&L,,3rd Av & L St,,0,,11769
M-Street-W/B,33.25654641,2,,-116.3698058,98000,Palm Cyn&Opp 818,,Palm Canyon Rd & Opp 818,,0,,98000
M-Street-W/B,33.25678001,2,,-116.369816,98001,Palm Cyn&818,,Palm Canyon Rd & 818,,0,,98001
M-Street-W/B,33.25672815,2,,-116.3605519,98002,Palm Cyn&1010,,Palm Canyon Rd & 1010,,0,,98002
M-Street-W/B,33.22074668,2,,-116.3366759,98003,Rango&Cts Yard,,Rango Wy & Cts Yard,,0,,98003
M-Street-W/B,32.72316573,1,,-117.0789116,11763,Bayview Heights&1670,,Bayview Heights Dr & 1670,,0,,11763
N-S/B,32.73613024,1,,-117.0797522,11760,54th&Krenning,,54th St & Krenning St,,0,,11760
N-S/B,32.73787296,1,,-117.0797263,11761,54th&Redwood,,54th St & Redwood St,,0,,11761
N-E/B,32.71385799,0,,-117.0737783,11766,Kelton&Pyramid,,Kelton Rd & Pyramid St,,0,,11766
N-S/B,32.70031391,1,,-117.0732909,11767,58th&Mira Flores,,58th St & Mira Flores Dr,,0,,11767
N-S/B,32.72555551,0,,-117.075845,11764,Bayview Heights&Hudson Bay,,Bayview Heights Dr & Hudson Bay Ter,,0,,11764
N-S/B,32.71208389,0,,-117.0739763,11765,Pyramid&Kenwood,,Pyramid St & Kenwood St,,0,,11765
M-Street-E/B,32.88239788,1,,-117.2242321,99200,Voigt&Scripps Memorial Hospital,,Voigt Dr & Scripps Memorial Hospital,,0,scrhos,99200
F-S/B,32.91242121,1,,-117.1356693,99203,Westonhill&Mra Msa,,Westonhill Dr & Mira Mesa Bl,,0,,99203
F-E/B,32.74249558,1,,-117.0382849,10708,Brdwy&West,,Broadway & West St,,0,,10708
N-S/B,32.90878806,1,,-117.1356164,99205,Westonhill&Hebrides,,Westonhill Dr & Hebrides Dr,,0,,99205
N-N/B,32.91243894,1,,-117.1354968,99204,Westonhill&Mra Msa,,Westonhill Dr & Mira Mesa Bl,,0,,99204
N-S/B,32.90614689,1,,-117.1355964,99207,Westonhill&Gold Coast,,Westonhill Dr & Gold Coast Dr,,0,,99207
F-N/B,32.90882494,1,,-117.1354571,99206,Westonhill&Hebrides,,Westonhill Dr & Hebrides Dr,,0,,99206
M-Street-N/B,32.7793361,1,,-117.0396134,10703,Lake Murray&Kiowa,,Lake Murray Bl & Kiowa Dr,,0,,10703
F-N/B,32.90604907,1,,-117.135439,99208,Westonhill&Gold Coast,,Westonhill Dr & Gold Coast Dr,,0,,99208
F-E/B,32.7424446,1,,-117.0423822,10701,Brdwy&Mass,,Broadway & Massachusetts Av,,0,,10701
F-E/B,32.75514962,1,,-117.0425778,10700,Univ&Mass,,University Av & Massachusetts Av,,0,,10700
F-E/B,32.71204487,0,,-117.0383182,10707,Lisbon&Jamacha,,Lisbon St & Jamacha Rd,,0,,10707
F-E/B,32.80096753,1,,-117.0394885,10706,Jackson&Golfcrest,,Jackson Dr & Golfcrest Dr,,0,,10706
F-W/B,32.74268804,1,,-117.0387061,10705,Brdwy&West,,Broadway & West St,,0,,10705
F-E/B,32.7120368,0,,-117.0395795,10704,Lisbon&Tibbett,,Lisbon St & Tibbett St,,0,,10704
N-E/B,32.69272854,1,,-117.1707702,60005,4th&Adella,,4th St & Adella Ln,,0,,60005
F-E/B,32.69337915,1,,-117.172347,60004,4th&B,,4th St & B Av,,0,,60004
F-E/B,32.74952055,1,,-117.0983978,10616,Univ&Highland,,University Av & Highland Av,,0,,10616
M-TC-Bus,32.75464817,1,,-117.1992863,94028,Old Town TC,oldttc,Old Town Transit Center,oldttc,0,ottc_e,94028
M-TC-Bus,32.75463014,1,,-117.1998423,94022,Old Town TC,oldttc,Old Town Transit Center,oldttc,0,ottc_w,94022
M-TC-Bus,32.75443729,1,,-117.199902,94023,Old Town TC,oldttc,Old Town Transit Center,oldttc,0,ottc_w,94023
M-TC-Bus,32.75446297,1,,-117.1997787,94020,Old Town TC,oldttc,Old Town Transit Center,oldttc,0,ottc_w,94020
M-TC-Bus,32.75492506,1,,-117.2000927,94021,Old Town TC,oldttc,Old Town Transit Center,oldttc,0,ottc_w,94021
M-TC-Bus,32.75482915,1,,-117.1993403,94027,Old Town TC,oldttc,Old Town Transit Center,oldttc,0,ottc_e,94027
M-TC-Bus,32.75459899,1,,-117.1999623,94024,Old Town TC,oldttc,Old Town Transit Center,oldttc,0,ottc_w,94024
M-TC-Bus,32.75426737,1,,-117.1998384,94025,Old Town TC,oldttc,Old Town Transit Center,oldttc,0,ottc_w,94025
N-S/B,32.74746879,0,,-117.1714008,11616,Goldfinch&Bush,,Goldfinch St & Bush St,,0,,11616
M-Street-S/B,32.79777215,2,,-117.1717742,11617,Gnsee&Park Mesa,,Genesee Av & Park Mesa Wy,,0,,11617
N-S/B,32.74535218,0,,-117.171434,11615,Goldfinch&Pennsylvania,,Goldfinch St & Pennsylvania Av,,0,,11615
N-S/B,32.72020653,2,,-117.1732,11612,N Harbor&Ash,,N Harbor Dr & Ash St,,0,,11612
N-S/B,32.75112549,0,,-117.1723465,11613,Hawk&Frt Stcktn,,Hawk St & Fort Stockton Dr,,0,,11613
F-E/B,32.75724196,1,,-117.0829403,10639,El Cjn&52nd,,El Cajon Bl & 52nd St,,0,,10639
N-E/B,32.71170849,0,,-117.0840283,10638,Roswell&51st,,Roswell St & 51st St,,0,,10638
F-E/B,32.72127357,1,,-117.0843887,10637,Federal&Euclid,,Federal Bl & Euclid Av,,0,,10637
F-E/B,32.95900919,1,,-117.1149701,12120,Rcho Pnsqts&Carmel Mtn,,Rancho Penasquitos Bl & Carmel Mountain Rd,,0,,12120
F-E/B,32.6974586,1,,-117.084277,10635,Olvera&Euclid,,Olvera Av & Euclid Av,,0,,10635
F-E/B,32.77032427,2,,-117.085055,10634,Mntzma&Collwood,,Montezuma Rd & Collwood Bl,,0,,10634
F-E/B,32.74914782,1,,-117.0865683,10633,Univ&50th,,University Av & 50th St,,0,,10633
F-E/B,32.79286961,1,,-117.0875791,10632,Zion&Estrella,,Zion Av & Estrella Av,,0,,10632
N-S/B,32.78485295,1,,-117.1711932,11618,L Vsta&Morley Way,,Linda Vista Rd & Morley Way,,0,,11618
N-S/B,32.73260234,0,,-117.1698894,11619,Reynard&Arroyo,,Reynard Wy & Arroyo Dr,,0,stamap,11619
N-E/B,32.78454093,1,,-117.2046583,10416,Milton&Denver,,Milton St & Denver St,,0,,10416
N-E/B,32.6927249,2,,-117.1360041,10143,Main&27th,,Main St & 27th St,,0,,10143
N-E/B,32.9126689,1,,-117.1390704,10142,Mra Msa&Reagan (E),,Mira Mesa Bl & Reagan Rd (E),,0,,10142
F-E/B,32.82760523,1,,-117.2085142,10413,Cmnt Mesa&Pocahontas,,Clairemont Mesa Bl & Pocahontas Av,,0,,10413
N-E/B,32.85188286,1,,-117.2099444,10412,Governor&Mercer,,Governor Dr & Mercer St,,0,,10412
N-E/B,32.70632038,1,,-117.1346649,10147,Imperial&Hensley,,Imperial Av & Hensley St,,0,,10147
F-S/B,32.75028454,1,,-117.2091041,10410,Midway&East,,Midway Dr & East Dr,,0,,10410
F-S/B,32.80547555,1,,-117.2008594,11946,Clairemont&Rappahannock,,Clairemont Dr & Rappahannock Av,,0,,11946
N-E/B,32.71683051,1,,-117.1343054,10148,C&28th,,C St & 28th St,,0,,10148
F-S/B,32.8112343,1,,-117.2011397,11944,Clairemont&Balboa,,Clairemont Dr & Balboa Av,,0,clabal,11944
F-S/B,32.81337021,1,,-117.2011009,11945,Clairemont&Chippewa,,Clairemont Dr & Chippewa Ct,,0,,11945
F-S/B,32.80901063,1,,-117.2011547,11942,Clairemont&Ute,,Clairemont Dr & Ute Dr,,0,,11942
M-Street-S/B,32.7819037,1,,-117.0308939,99122,Lake Murray&Baltimore (Vons),,Lake Murray Bl & Baltimore Dr (Vons),,0,,99122
F-E/B,32.79026125,1,,-117.2027972,10419,Clairemont&Denver,,Clairemont Dr & Denver St,,0,,10419
F-W/B,32.83044394,1,,-117.2018291,11941,Cmnt Mesa&Lakehurst,,Clairemont Mesa Bl & Lakehurst Av,,0,,11941
M-Street-N/B,32.7349782,1,,-116.9714008,40988,Swtwter Sprgs&3115,,Sweetwater Springs Bl & 3115,,0,,40988
F-E/B,32.80344839,2,,-117.2257083,10386,Garnet&Fogg,,Garnet Av & Fogg St,,0,,10386
F-E/B,32.80026295,1,,-117.22882,10384,Grand&Olney,,Grand Av & Olney St,,0,,10384
F-E/B,32.80219779,1,,-117.2295282,10383,Garnet&Olney,,Garnet Av & Olney St,,0,,10383
N-E/B,32.7328054,2,,-117.2312803,10382,Macaulay&Tustin,,Macaulay St & Tustin St,,0,,10382
F-E/B,32.7413332,1,,-117.2310468,10381,Voltaire&Las Lomas,,Voltaire St & Las Lomas St,,0,,10381
M-Street-E/B,32.75962964,1,,-117.1715801,12999,Hotel Cir S&MV Resort,,Hotel Circle S & Mission Valley Resort,,0,,12999
M-Street-W/B,32.74407958,1,,-117.0216281,40981,Brdwy&st John'S Pza,,Broadway & st John'S Plaza,,0,,40981
M-Street-W/B,32.84440194,1,,-117.0047529,40982,Carlton Oaks&Santee Lakes Park,,Carlton Oaks Dr & Santee Lakes Park,,0,,40982
M-TC-Bus,32.81516769,1,,-117.0054267,40983,Grossmont Coll,,Grossmont College,,0,grcoll,40983
M-Street-W/B,32.83867873,1,,-116.9760143,40987,Msn Grg&10152,,Mission Gorge Rd & 10152,,0,,40987
N-W/B,32.74978826,1,,-117.1109354,60648,Univ&39th,,University Av & 39th St,,0,uni39t,60648
,32.78098289,0,,-117.111105,75058,Mission SD,msdS_S,Mission San Diego Station,,0,msdS,75058
,32.78081391,0,,-117.110979,75059,Mission SD,msdS_S,Mission San Diego Station,,0,msdS,75059
N-W/B,32.79506416,1,,-116.9702041,41286,W Main&Johnson,,W Main St & Johnson Av,,0,,41286
,32.77363297,0,,-117.141967,75052,Rio Vista,rioS_S,Rio Vista Station,,0,rioS,75052
,32.77362089,0,,-117.1416988,75053,Rio Vista,rioS_S,Rio Vista Station,,0,rioS,75053
,32.77108307,0,,-117.1498561,75050,Msn Vly Cntr,mivS_S,Mission Valley Center Station,,0,mivS,75050
,32.77109313,0,,-117.150135,75051,Msn Vly Cntr,mivS_S,Mission Valley Center Station,,0,mivS,75051
,32.78092904,0,,-117.119492,75056,Qualcomm Stadium,quaS,Qualcomm Stadium Station,,0,quaS,75056
,32.78102507,0,,-117.1197109,75057,Qualcomm Stadium,quaS,Qualcomm Stadium Station,,0,quaS,75057
,32.77827002,0,,-117.1272371,75054,Fenton Pkwy,fenS_S,Fenton Parkway Station,,0,fenS,75054
,32.77837004,0,,-117.1270081,75055,Fenton Pkwy,fenS_S,Fenton Parkway Station,,0,fenS,75055
F-S/B,32.73124286,1,,-117.0430651,12235,Mass&Mt Vernon,,Massachusetts Av & Mt Vernon St,,0,masmtv,12235
F-N/B,32.77542962,1,,-117.044888,12234,Lake Murray&Parkway,,Lake Murray Bl & Parkway Dr,,0,,12234
F-S/B,32.73312576,2,,-117.0430366,12236,Mass&Rosemary,,Massachusetts Av & Rosemary Ln,,0,,12236
N-E/B,32.95170801,1,,-117.063714,41235,Poway&Pomerado,,Poway Rd & Pomerado Rd,,0,powpom,41235
F-S/B,32.86945883,1,,-117.1997433,99194,Judicial&Research,,Judicial Dr & Research Pl,,0,,99194
F-S/B,32.80344166,1,,-117.045834,12233,Jackson&Navajo,,Jackson Dr & Navajo Rd,,0,navjac,12233
F-S/B,32.77064913,1,,-117.0471514,12232,70th&Saranac,,70th St & Saranac St,,0,elc69,12232
F-W/B,32.75545774,1,,-117.1393217,99199,El Cjn&Texas,,El Cajon Bl & Texas St,,0,,99199
F-S/B,32.70219559,1,,-117.0307697,12239,Mdwbrk&Skyline,,Meadowbrook Dr & Skyline Dr,,0,,12239
F-S/B,32.70523908,0,,-117.0314924,12238,Mdwbrk&Blackpool,,Meadowbrook Dr & Blackpool Rd,,0,,12238
N-E/B,32.79487323,1,,-116.9746509,40180,W Main&Marshall (Richfield),,W Main St & Marshall Av (Richfield Av),,0,,40180
F-N/B,32.86573328,1,,-116.9818522,41168,Cuyamaca&Woodglen Vista,,Cuyamaca St & Woodglen Vista Dr,,0,,41168
F-E/B,32.80030796,1,,-116.969313,40183,Madison&Johnson,,Madison Av & Johnson Av,,0,madjoh,40183
F-E/B,32.80748412,2,,-116.9693326,40184,Fletcher&Johnson,,Fletcher Pkwy & Johnson Av,,0,,40184
N-E/B,32.83831331,1,,-116.9703594,40187,Msn Grg&Edgemoor,,Mission Gorge Rd & Edgemoor Dr,,0,,40187
F-E/B,32.78759018,1,,-116.9684673,40188,Wshngtn&Emerald,,Washington Av & Emerald Av,,0,,40188
F-E/B,32.7875818,1,,-116.9618489,40189,Wshngtn&Magnolia,,Washington Av & Magnolia Av,,0,,40189
N-E/B,32.84785627,2,,-116.8650683,41162,Old80&Flinn Crest,,Old Hwy 80 & Flinn Crest St,,0,flinsp,41162
F-N/B,32.85577555,1,,-116.9827788,41165,Cuyamaca&Mast,,Cuyamaca St & Mast Bl,,0,cuymas,41165
F-N/B,32.80958868,1,,-116.9604483,41164,Graves&Brdwy,,Graves Av & Broadway,,0,,41164
F-N/B,32.86242525,2,,-116.9821243,41167,Cuyamaca&El Nopal,,Cuyamaca St & El Nopal,,0,,41167
F-N/B,32.85936589,1,,-116.9826394,41166,Cuyamaca&Beck,,Cuyamaca St & Beck Dr,,0,,41166
F-S/B,32.70530322,0,,-117.1168921,10563,36th&Imperial,,36th St & Imperial Av,,0,,10563
M-Street-E/B,32.74873617,1,,-117.121811,10560,Univ&33rd,,University Av & 33rd St,,0,,10560
F-E/B,32.76327039,1,,-117.1202373,10564,Adams&34th,,Adams Av & 34th St,,0,,10564
F-E/B,32.701176,1,,-117.1183078,10568,Ocn Vw&35th,,Ocean View Bl & 35th St,,0,,10568
N-E/B,32.79116236,1,,-117.1632153,10093,Gnsee&Richland,,Genesee Av & Richland St,,0,,10093
N-E/B,32.65870547,1,,-117.0581938,99428,Swtwter&Calmoor,,Sweetwater Rd & Calmoor St,,0,,99428
N-W/B,32.83281806,1,,-117.1629573,10091,Cmnt Mesa&Shawline (Kaiser),,Clairemont Mesa Bl & Shawline St (Kaiser),,0,clasha,10091
F-N/B,32.61630933,1,,-117.0744881,30412,4th&EMoss,,4th Av & East Moss St,,0,,30412
N-E/B,32.71566019,0,,-117.160297,10097,Brdwy&5th,,Broadway & 5th Av,,0,5thbro,10097
N-E/B,32.87896273,1,,-117.1626088,10095,Miramar&Distribution,,Miramar Rd & Distribution Av,,0,,10095
N-E/B,32.71561383,0,,-117.1621074,10094,Brdwy&3rd,,Broadway & 3rd Av,,0,3rdbro,10094
F-S/B,32.9658811,1,,-117.0625899,99421,Pomerado&Vaughan,,Pomerado Rd & Vaughan Rd,,0,,99421
N-S/B,32.65729597,1,,-117.0998045,99420,Natl City&30th,,National City Bl & 30th St,,0,,99420
N-E/B,32.71566351,0,,-117.1594745,10099,Brdwy&6th,,Broadway & 6th Av,,0,bro6th,10099
N-E/B,32.74820876,1,,-117.1605812,10098,Univ&5th,,University Av & 5th Av,,0,5thuni,10098
,32.70576993,0,,-117.124753,75072,32nd St/Commercial,32nS_S,32nd St/Commercial Station,32nS,0,32nS_N,75072
F-W/B,32.65885433,1,,-117.0585461,99427,Swtwter&Fairlomas,,Sweetwater Rd & Fairlomas Rd,,0,,99427
F-W/B,32.72937583,1,,-116.9625851,40959,Jamacha&Lamplighter Vlge,,Jamacha Bl & Lamplighter Village,,0,,40959
F-W/B,32.86801101,1,,-117.231658,13058,Nobel&LJ Vlge Square,,Nobel Dr & La Jolla Village Square Drwy,,0,noblaj,13058
M-Special_Loc,32.76390304,1,,-117.229457,13059,SeaWorld,,SeaWorld,,0,seawld,13059
,32.77725471,,,-117.0563144,avlS_S,avlS_S,,Alvarado Station,avlS,1,,
F-S/B,32.68089356,1,,-117.1766233,60257,Orange&Glorietta,,Orange Av & Glorietta Bl,,0,,60257
F-E/B,32.74445596,1,,-117.2121467,13180,Rosecrans&Lytton,,Rosecrans St & Lytton St,,0,,13180
M-Street-W/B,32.77955248,1,,-117.031527,13056,Baltimore&Wellesley,,Baltimore Dr & Wellesley St,,0,,13056
,32.70528997,0,,-117.1411539,75075,25th/Commercial St,25tS_S,25th/Commercial St Station,25tS,0,25tS_N,75075
N-S/B,32.6730955,1,,-117.0968371,11730,Highland&14th,,Highland Av & 14th St,,0,,11730
F-W/B,32.95651672,1,,-117.0341078,40368,Poway&Gate,,Poway Rd & Gate Dr,,0,,40368
N-W/B,33.01872474,1,,-117.0338312,40369,Espola&Orchard Bend,,Espola Rd & Orchard Bend Rd,,0,,40369
F-S/B,32.62146207,1,,-117.0276715,30323,Medical Ctr&E Naples,,Medical Center Dr & E Naples St,,0,,30323
F-W/B,32.97123573,1,,-117.036564,40366,Aubrey&Midland,,Aubrey St & Midland Rd,,0,,40366
,32.74154196,0,,-117.18429,75077,Washington St,wasS_S,Washington St Station,wasS,0,wasS_S,75077
F-W/B,33.01876163,1,,-117.0401313,40360,Espola&Martincoit,,Espola Rd & Martincoit Rd,,0,,40360
N-W/B,32.97122802,1,,-117.0386377,40361,Aubrey&York,,Aubrey St & York Av,,0,,40361
F-W/B,33.01874808,1,,-117.0375147,40362,Espola&Cloudcroft,,Espola Rd & Cloudcroft Dr,,0,,40362
F-W/B,32.95657485,1,,-117.038366,40363,Poway&Midland,,Poway Rd & Midland Rd,,0,,40363
